"","Casualty.Class","Casualty.Severity","Type.of.Vehicle","Weather.Conditions","Age.of.Casualty","missing"
"1",2,2,9,2,16,1
"2",3,2,9,1,67,1
"3",1,3,9,1,56,1
"4",1,1,4,1,20,1
"5",1,3,9,1,46,1
"6",3,3,9,1,31,0
"7",3,3,9,1,25,1
"8",1,3,9,1,50,1
"9",3,3,9,1,64,1
"10",1,3,9,1,22,1
"11",2,3,9,2,21,1
"12",1,3,9,1,29,1
"13",1,3,9,1,24,1
"14",1,3,19,1,29,1
"15",3,3,9,1,5,1
"16",3,3,19,1,14,1
"17",1,3,9,1,33,1
"18",1,3,9,2,28,1
"19",1,3,9,1,37,0
"20",3,3,9,5,27,1
"21",1,3,9,7,60,1
"22",3,3,8,1,50,1
"23",1,3,9,2,40,1
"25",1,3,9,1,48,1
"26",1,3,9,1,76,1
"27",1,3,9,1,22,1
"28",3,3,9,1,14,1
"29",1,2,9,1,26,1
"30",1,3,19,1,65,1
"31",3,3,9,1,31,0
"32",1,3,9,1,51,1
"33",1,3,9,1,67,1
"34",1,3,9,1,28,1
"35",1,3,9,1,34,1
"36",3,3,9,1,14,1
"37",3,3,9,1,13,1
"38",3,2,9,1,76,1
"39",3,3,3,1,45,1
"40",1,3,9,1,30,1
"41",1,3,9,3,35,1
"42",1,3,9,6,57,1
"43",1,3,9,3,26,1
"44",1,3,9,1,24,1
"45",1,2,9,1,68,1
"46",1,3,9,1,53,1
"47",3,3,9,1,11,1
"48",1,3,9,1,25,1
"49",3,2,8,1,39,1
"50",1,3,9,2,19,1
"51",1,3,9,2,74,1
"52",2,3,9,1,21,1
"53",1,2,3,2,30,1
"54",3,3,9,4,59,1
"55",2,3,9,1,17,1
"56",1,2,9,1,35,1
"57",1,3,9,1,46,1
"58",1,3,9,1,18,1
"59",2,3,9,1,48,1
"60",2,3,9,1,8,1
"61",1,3,9,1,53,1
"62",3,3,9,2,50,1
"63",3,3,21,1,45,1
"64",1,3,9,4,43,1
"65",1,3,9,1,22,1
"66",1,3,9,5,21,1
"67",1,3,9,1,57,1
"68",3,3,9,1,83,1
"69",2,3,9,1,19,1
"70",3,3,9,2,13,1
"71",1,3,9,1,46,1
"72",2,3,9,1,3,1
"73",1,2,2,1,38,0
"74",1,3,9,1,25,1
"75",1,3,19,1,29,1
"76",3,3,9,1,2,1
"77",1,2,9,1,48,1
"78",3,3,9,1,9,1
"79",1,3,9,1,34,1
"80",1,3,10,1,52,1
"81",2,3,9,1,9,1
"82",1,3,9,1,68,1
"83",1,2,9,1,26,1
"84",1,3,5,1,35,1
"85",1,3,9,1,18,1
"86",2,3,9,1,63,1
"87",1,3,9,1,45,1
"88",3,3,11,1,23,1
"89",1,3,19,1,29,1
"90",3,3,9,1,47,1
"91",1,3,9,1,42,1
